id1,id2,FT-cbow,FT-SG,w2v-SG,w2v-cbow
response,alert,0.33,0.53
ln,ilen,0.44,0.64
tasks,todos,0.5,0.6
images,authors,0.33,0.54
editable,dropdown,0.3,0.51
ReactDOMComponent,ReactTextComponent,0.94,0.86
foundMap,foundStarMap,0.91,0.86
columns,cols,0.78,0.81
dm,_queueHooks,0.0,0.34
pushStackLiteral,oldSelection,0.13,0.27
fuchsia,pink,0.28,0.77
ExpressionStatement,FunctionDeclaration,0.66,0.67
object2,overlapOnly,0.44,0.67
_selection,_sel,0.81,0.82
alignTop,popupLocationBar,0.39,0.49
miny,ymin,0.48,0.81
equal,eql,0.7,0.79
item,entry,0.4,0.63
image,polyline,0.2,0.44
player,peer,0.53,0.64
files,profiles,0.58,0.6
reset,clear,0.52,0.69
reset,refresh,0.45,0.63
username,userid,0.72,0.79
clear,refresh,0.55,0.66
olive,darkred,0.45,0.69
selectAnchor,anchorName,0.6,0.73
names,filenames,0.62,0.64
setInterval,clearInterval,0.89,0.9
getRules,foldingRules,0.7,0.76
self_msgs,they_effects,0.5,0.83
getInstanceProp,setInstanceProp,0.94,0.96
emptyText,blankText,0.67,0.73
minText,maxText,0.95,0.9
maxText,disabledDaysText,0.66,0.72
disabledDaysText,disabledDatesText,0.96,0.96
keywordMapper,buildinConstants,0.41,0.65
VM,invokePartial,0.13,0.55
blendMode,currentBlendMode,0.79,0.88
touchmove,touchend,0.91,0.94
bindBuffer,ARRAY_BUFFER,0.51,0.81
click,mousedown,0.57,0.69
files,players,0.26,0.51
_owner,nextElement,0.28,0.59
child,face,0.12,0.46
displayMsg,emptyMsg,0.47,0.8
pseudoElements,pseudoClasses,0.71,0.75
lastName,firstName,0.9,0.94
Int16Array,Uint16Array,0.91,0.91
startSymbol,endSymbol,0.94,0.91
decrypt,ciphertext,0.63,0.77
rlocalProtocol,rurl,0.66,0.6
hSpace,popupFeatures,0.25,0.48
linkTab,alignMiddle,0.4,0.46
lockRatio,alignRight,0.47,0.45
substr,substring,0.91,0.86
change,submit,0.59,0.67
columns,menus,0.35,0.5
deltaX,deltaY,0.98,0.96
MINUTE,SECOND,0.77,0.85
onDragStart,onDragEnd,0.95,0.93
expect,bp,0.05,0.48
items,files,0.3,0.59
disabled,visible,0.36,0.51
round,sqrt,0.6,0.78
teal,lightgrey,0.25,0.7
navy,lightblue,0.38,0.76
navy,magenta,0.38,0.74
equal,cut,0.09,0.51
start,begin,0.58,0.67
visible,showing,0.55,0.7
arrayClass,boolClass,0.65,0.76
me,br,0.06,0.62
dispatchIDs,_dispatchIDs,0.78,0.88
getAnimation,depot,0.19,0.57
cx,sx,0.45,0.77
records,entries,0.41,0.53
adjusted_scale,rangy,0.27,0.39
vSpace,advisoryTitleInputLabel,0.38,0.47
start,searches,0.21,0.47
len,ln,0.66,0.75
self,that,0.28,0.7
y,z,0.58,0.86
element,elm,0.58,0.73
id,userid,0.56,0.67
miny,ypos,0.27,0.7
newLength,Group,0.15,0.41
colspan,assignTo,0.1,0.39
setScrollTop,prefixWith,-0.15,0.22
getMinutes,getUTCMinutes,0.93,0.87
FONTDATA,FONTS,0.92,0.92
